"GOOG","Google Inc.",291.8B,873.65,26.14
"FB","Facebook, Inc.",59.601B,24.16,525.22
"AAPL","Apple Inc.",372.8B,398.07,9.50
"YHOO","Yahoo! Inc.",27.813B,25.285,7.34
"MSFT","Microsoft Corpora",289.0B,34.35,17.72
"LNKD","LinkedIn Corporat",19.911B,179.50,695.74
"CRM","Salesforce.com In",22.745B,38.00,N/A
